Guilherme Silva,5.1,7.8,6.8
Guilherme Ribeiro,7.2,6.4,10.0
Aline Martins,8.7,8.1,9.0
Lucas Silva,8.1,7.5,9.4
Maria Martins,9.6,7.0,7.0
Mariana Ribeiro,5.8,5.5,8.0
Juliana Souza,8.9,9.6,6.3
Joao Santos,7.5,8.6,7.3
Camila Oliveira,6.9,7.1,9.0
Guilherme Ferreira,8.9,8.8,8.9
Lucas Martins,6.1,7.5,7.8
Juliana Nascimento,9.4,8.6,6.2
Felipe Lima,8.1,8.3,5.7
Sofia Carvalho,8.2,9.4,5.3
Ana Ferreira,6.8,6.4,6.7
Pedro Souza,6.2,6.3,7.6
Lucas Gomes,7.6,8.0,6.3
Felipe Rodrigues,5.8,7.5,9.9
Juliana Ribeiro,6.8,8.1,9.9
Isabela Silva,7.2,8.0,6.3
Maria Pereira,8.7,7.8,5.6
Guilherme Lima,5.2,5.6,6.3
Felipe Ribeiro,6.0,6.7,9.7
Guilherme Pereira,5.6,7.4,7.6
Felipe Santos,7.6,8.2,8.9
Rafael Moura,7.8,9.1,8.3
Ricardo Pereira,9.6,5.6,7.6
Pedro Santos,5.5,7.8,7.1
Mariana Almeida,5.8,8.7,8.2
Ana Souza,5.5,6.3,9.5
Rafael Martins,6.4,6.4,9.7
Rafael Souza,7.4,9.2,6.6
Guilherme Silva,9.9,6.3,9.5
Isabela Lima,5.2,5.2,7.8
Maria Ferreira,8.3,8.8,8.7
Rafael Rodrigues,6.3,9.2,7.5
Camila Ferreira,5.0,8.7,6.2
Rafael Silva,7.4,8.8,6.1
Pedro Silva,5.6,8.8,8.8
Maria Souza,7.4,9.3,9.7
Sofia Ribeiro,5.1,7.7,5.7
Carlos Ferreira,5.9,6.9,5.1
Camila Rodrigues,6.4,6.6,6.6
Ana Pereira,6.7,7.3,7.0
Camila Almeida,7.5,7.9,8.1
Ricardo Oliveira,7.3,6.0,5.5
Maria Moura,8.0,8.8,7.7
Ana Nascimento,7.7,8.1,8.1
Juliana Gomes,7.0,7.5,7.6
Sofia Lima,8.4,8.2,5.5
Aline Rodrigues,8.8,9.6,6.1
Camila Ribeiro,9.3,8.5,6.3
Mariana Carvalho,7.4,7.5,8.3
Pedro Pereira,6.0,9.2,7.8
Lucas Costa,5.9,6.6,9.6
Mariana Santos,6.1,9.0,6.4
Felipe Rodrigues,9.3,6.7,9.3
Aline Costa,6.5,9.4,5.5
Joao Silva,8.0,8.8,8.8
Sofia Souza,7.1,7.1,10.0
Camila Martins,6.1,7.3,9.6
Aline Costa,8.4,7.4,9.7
Ana Moura,7.9,9.3,7.2
Aline Ribeiro,9.6,6.3,5.7
Felipe Carvalho,5.3,8.7,5.0
Aline Rodrigues,7.7,5.3,8.3
Juliana Gomes,5.5,7.9,6.6
Guilherme Almeida,9.0,8.8,6.2
Carlos Oliveira,9.3,7.9,7.6
Camila Rodrigues,7.0,8.9,9.0
Sofia Carvalho,8.2,9.3,5.3
Mariana Lima,6.0,6.2,7.0
Camila Gomes,7.5,7.2,10.0
Isabela Souza,5.4,6.8,5.2
Mariana Souza,7.3,6.0,7.5
Camila Carvalho,8.8,7.9,6.7
Mariana Souza,8.1,5.1,6.9
Mariana Moura,9.0,7.9,6.7
Maria Pereira,6.0,5.9,7.3
Aline Lima,5.2,7.2,8.2
Ana Moura,9.6,5.8,7.2
Felipe Souza,5.7,6.9,9.4
Camila Almeida,5.5,6.7,8.2
Carlos Rodrigues,9.1,6.8,8.5
Guilherme Martins,6.1,8.1,10.0
Ana Santos,5.3,6.7,8.1
Rafael Martins,8.1,7.1,5.2
Maria Martins,6.9,7.9,9.1
Guilherme Gomes,8.4,7.7,6.3
Maria Moura,6.1,9.2,5.5
Juliana Nascimento,7.3,7.2,9.9
Juliana Gomes,6.4,7.6,7.4
Lucas Oliveira,8.1,7.6,6.2
Ana Souza,5.9,9.1,6.9
Ricardo Ferreira,9.1,9.1,8.9
Rafael Ferreira,7.0,6.2,9.6
Pedro Moura,5.1,7.5,6.8
Felipe Almeida,7.7,9.6,6.9
Camila Gomes,8.0,7.5,6.5
Isabela Rodrigues,7.9,6.3,5.2
Isabela Carvalho,9.6,7.4,8.1
Mariana Silva,7.9,7.9,5.5
Camila Carvalho,8.7,6.9,8.9
Isabela Pereira,7.5,5.9,8.8
Maria Gomes,8.7,8.8,5.2
Lucas Santos,5.7,5.7,6.6
Juliana Nascimento,9.5,6.0,7.4
Rafael Santos,6.2,5.3,7.5
Camila Moura,9.1,9.4,9.9
Ricardo Ferreira,8.9,6.5,8.3
Mariana Pereira,8.0,5.6,6.7
Rafael Santos,9.9,9.9,8.4
Guilherme Ribeiro,7.0,8.3,8.4
Mariana Costa,8.1,6.1,7.5
Sofia Pereira,9.2,9.3,8.6
Lucas Santos,5.4,9.4,5.3
Guilherme Ferreira,6.9,8.3,9.8
Guilherme Santos,7.0,8.6,6.2
Lucas Gomes,7.3,6.3,7.6
Ana Souza,7.8,5.6,8.8
Ana Silva,6.7,6.2,6.1
Ricardo Martins,8.0,7.1,8.2
Camila Rodrigues,7.1,7.5,5.8
Mariana Souza,7.7,9.8,5.9
Juliana Santos,7.2,7.8,7.5
Lucas Moura,8.1,8.8,7.1
Felipe Santos,7.8,6.3,6.2
Joao Rodrigues,9.2,5.5,9.2
Ana Silva,8.1,8.2,6.2
Aline Gomes,9.1,6.4,9.0
Mariana Nascimento,8.1,7.7,9.6
Joao Nascimento,8.8,9.7,8.7
Joao Martins,5.2,6.8,9.9
Guilherme Martins,7.1,8.5,5.9
Juliana Oliveira,8.4,6.5,9.9
Mariana Costa,9.5,6.3,5.9
Aline Ribeiro,9.0,8.6,7.2
Joao Silva,9.0,8.8,9.0
Maria Costa,6.8,8.3,6.5
Sofia Silva,7.1,9.4,7.6
Sofia Ribeiro,7.5,9.4,9.5
Carlos Carvalho,5.6,7.2,9.8
Pedro Almeida,6.5,6.0,7.5
Sofia Pereira,9.4,8.5,6.6
Sofia Ribeiro,5.1,9.0,9.7
Maria Carvalho,5.1,9.0,8.2
Aline Carvalho,7.3,5.4,6.6
