Mariana Lima,9.7,7.5,7.0
Pedro Pereira,8.8,5.9,6.4
Ricardo Costa,7.6,5.6,5.8
Mariana Costa,6.4,5.2,9.0
Lucas Ribeiro,9.1,9.2,6.7
Camila Oliveira,7.4,5.5,7.7
Ricardo Rodrigues,8.0,5.5,7.1
Camila Moura,9.7,9.1,9.2
Maria Ferreira,6.7,9.2,7.2
Aline Ribeiro,7.3,7.0,7.9
Juliana Pereira,9.3,6.6,9.8
Sofia Costa,5.1,8.5,9.0
Ricardo Oliveira,9.7,6.1,8.4
Isabela Ferreira,8.0,8.3,10.0
Sofia Ribeiro,6.4,6.5,8.4
Ana Pereira,8.4,9.4,7.7
Juliana Martins,6.3,6.9,9.9
Maria Lima,6.9,9.2,8.6
Ricardo Silva,6.5,9.4,6.2
Sofia Santos,6.7,8.8,6.9
Aline Silva,9.4,5.5,5.6
Felipe Moura,9.4,9.8,9.7
Guilherme Martins,9.7,5.5,9.6
Aline Lima,5.9,5.9,6.3
Juliana Oliveira,7.5,7.9,7.5
Aline Souza,9.7,5.5,8.4
Lucas Carvalho,7.8,7.5,8.6
Sofia Carvalho,5.5,5.1,6.6
Maria Oliveira,5.1,6.3,7.0
Sofia Martins,9.1,9.8,6.4
Carlos Rodrigues,9.3,9.3,5.0
Joao Carvalho,9.0,6.3,6.8
