Joao Costa,5.7,9.1,8.9
Guilherme Nascimento,5.7,6.9,5.6
Camila Carvalho,7.0,9.6,7.3
Aline Martins,5.5,7.4,7.7
Lucas Souza,7.9,9.7,9.8
Ricardo Moura,8.6,8.2,7.5
Maria Carvalho,8.5,6.2,6.7
Lucas Rodrigues,8.9,9.5,9.6
Pedro Gomes,5.8,5.4,7.4
Juliana Costa,6.5,7.0,5.8
Carlos Costa,5.3,7.8,5.8
Joao Santos,5.1,5.1,9.2
Guilherme Nascimento,8.2,5.6,6.6
Sofia Lima,9.9,5.6,9.0
Mariana Carvalho,9.4,7.5,8.6
Camila Nascimento,6.0,5.8,5.6
Pedro Rodrigues,9.2,7.8,6.0
Sofia Oliveira,8.5,6.4,7.7
Lucas Oliveira,7.5,8.4,6.7
Maria Nascimento,5.8,6.6,9.9
Felipe Costa,7.8,6.4,7.3
Maria Rodrigues,8.2,7.3,8.8
Isabela Ribeiro,6.6,8.9,7.2
Maria Martins,7.2,8.6,5.2
Camila Costa,10.0,7.3,9.9
Joao Souza,6.4,8.7,5.4
Carlos Costa,7.2,7.5,7.4
Mariana Souza,9.0,5.1,8.1
Joao Carvalho,5.9,8.0,9.9
Maria Oliveira,9.6,7.3,9.1
Sofia Santos,9.4,5.4,9.4
Carlos Ferreira,9.0,5.3,5.8
Ricardo Costa,7.9,5.1,8.7
Ana Ribeiro,8.7,6.8,7.6
Ana Nascimento,8.0,5.3,8.7
Isabela Santos,6.8,9.3,7.0
Ana Oliveira,8.3,5.2,8.3
Ana Carvalho,8.7,8.3,8.2
Rafael Martins,6.6,6.3,8.8
Ana Costa,7.9,9.2,8.5
Juliana Carvalho,7.2,10.0,5.5
Felipe Santos,9.2,9.3,8.9
Ana Moura,9.6,8.4,8.0
Carlos Nascimento,5.1,9.2,8.0
Mariana Souza,9.6,8.5,5.8
Rafael Souza,8.3,8.8,6.2
Juliana Silva,9.4,8.9,8.3
Isabela Oliveira,9.8,8.8,5.7
Sofia Souza,5.6,9.6,9.7
Maria Silva,8.1,9.0,7.7
Lucas Moura,6.1,5.3,9.3
Ana Santos,5.3,8.9,7.9
Joao Costa,5.2,6.7,6.3
Mariana Oliveira,8.2,7.9,8.5
Aline Oliveira,9.7,9.7,5.7
Ana Carvalho,5.6,7.0,5.9
